feature,importance
City_MPG,0.4724898564370323
Combined_MPG,0.27846897689776084
EV_Range_miles,0.23582909703363591
Engine_Size_L,0.0038387592648939446
Engine_Cylinders,0.003441051097973542
Fuel_Type_Diesel,0.002204790305815485
Highway_MPG,0.0015031432391825717
Year,0.0008623898690593685
Make_Porsche,0.00020675321878640984
Make_BMW,0.00015424472876635048
Make_Mercedes-Benz,0.00012635583859509037
Make_Koenigsegg,6.372219765620836e-05
Make_Ferrari,6.326422135076271e-05
Drivetrain_Rear-Wheel Drive,6.019612443329489e-05
Make_Lexus,5.5461356920453475e-05
Fuel_Type_Regular Gasoline,5.001837240697011e-05
Drivetrain_All-Wheel Drive,4.538454847025634e-05
Make_Bentley,4.17989634115276e-05
Fuel_Type_Premium Gasoline,3.553217242827977e-05
Make_Cadillac,3.452538483666129e-05
Make_Karma,3.339351866712158e-05
Drivetrain_4-Wheel Drive,3.302322856332382e-05
Make_Jeep,3.130913766114457e-05
Make_Land Rover,2.822868502091884e-05
Make_Ford,2.511469223460964e-05
Drivetrain_Front-Wheel Drive,2.386173989411555e-05
Make_Toyota,2.263275522118664e-05
Make_Subaru,1.9537767350681667e-05
Make_Audi,1.8642193466355555e-05
Make_Volvo,1.4728032404321414e-05
Make_Kia,1.2802264624343052e-05
Make_Polestar,1.229334845245532e-05
Make_MINI,1.116519809891021e-05
Make_Chevrolet,1.0596773977749079e-05
Transmission_Type_Manual,8.116818468102034e-06
Transmission_Type_Automatic,7.989142487914277e-06
Make_Aston Martin,7.745456910601774e-06
Make_Maserati,7.516167540290465e-06
Make_Jaguar,7.0684011899118106e-06
Make_Hyundai,6.562042036788632e-06
Drivetrain_Part-time 4-Wheel Drive,6.389353705254287e-06
Make_Bugatti,6.355062267615814e-06
Make_GMC,6.2980299460161035e-06
Make_Lincoln,6.158507164948524e-06
Make_Honda,5.973686385226675e-06
Make_Lamborghini,5.838923580332146e-06
Make_Nissan,5.416359250934287e-06
Make_Infiniti,4.7144053601114315e-06
Make_Alfa Romeo,4.4848234372268685e-06
Make_Genesis,4.286741513195806e-06
Make_Mitsubishi,3.219533493927153e-06
Make_Mazda,3.2163185173604203e-06
Make_Roush Performance,3.0154247575851057e-06
Make_Ram,2.5058832956025205e-06
Make_Dodge,2.288853653544319e-06
Make_Volkswagen,2.121163176013941e-06
Make_Fiat,1.6988479657582285e-06
Make_Buick,1.4028984910232014e-06
Make_Acura,1.2780820636235477e-06
Fuel_Type_Midgrade Gasoline,1.1996928023840003e-06
Make_Lotus,1.144551067334322e-06
Make_Rolls-Royce,1.1130927771704964e-06
Make_McLaren Automotive,1.0782871855270132e-06
Make_Chrysler,5.053601008582052e-07
Make_Scion,3.566761254252685e-07
Make_Pagani,1.23327844288297e-07
Make_INEOS Automotive,1.2305542236119034e-07
Make_RUF Automobile,2.7811608906513657e-08
Make_smart,1.660935330214585e-08
Make_Bugatti Rimac,0.0
Make_BYD,0.0
Fuel_Type_Unknown,0.0
Make_Kandi,0.0
Fuel_Type_Natural Gas,0.0
Fuel_Type_Hydrogen,0.0
Fuel_Type_Electricity,0.0
Make_Vinfast,0.0
Make_Tesla,0.0
Make_Rivian,0.0
Make_Mini,0.0
Make_Lucid,0.0
Make_Lordstown,0.0
Make_STI,0.0
