feature,importance
Combined_MPG,0.21359409476319746
City_MPG,0.20276607172151062
Highway_MPG,0.1457647884587548
Engine_Size_L,0.09836081298316272
Engine_Cylinders,0.09611525173745561
EV_Range_miles,0.08241237480998528
Fuel_Type_Electricity,0.035552533410595014
Fuel_Type_Premium Gasoline,0.016678411171760034
Fuel_Type_Regular Gasoline,0.014918598164153784
Drivetrain_Front-Wheel Drive,0.01452900832921738
Year,0.012944410104584367
Drivetrain_Rear-Wheel Drive,0.0060437042714592895
Drivetrain_4-Wheel Drive,0.004883809945386364
Make_Toyota,0.004360488557148119
Drivetrain_All-Wheel Drive,0.003363078653614601
Transmission_Type_Automatic,0.002903925061506966
Make_BMW,0.0026098070397509564
Fuel_Type_Diesel,0.002595978385469916
Transmission_Type_Manual,0.0023957183113606714
Make_Volvo,0.0020599869880443228
Make_Tesla,0.0018680477080689599
Make_GMC,0.001806199771771759
Make_Porsche,0.0017417636937028466
Drivetrain_Part-time 4-Wheel Drive,0.0016679900314346817
Make_Chevrolet,0.0016188958173399643
Make_Rolls-Royce,0.0015937994918716414
Make_Bentley,0.0014337289506354842
Make_Rivian,0.0013143291220728956
Make_Nissan,0.0012319451316344064
Make_Ford,0.001227633277617674
Make_Lamborghini,0.0011824953548723977
Make_Lexus,0.001118585089598611
Make_Mazda,0.0010604648382298658
Make_Honda,0.0010400720549285697
Make_Mitsubishi,0.0010299286965245876
Make_Mercedes-Benz,0.0009640367544432789
Make_MINI,0.0009614351028531846
Make_Hyundai,0.0008709624279836524
Make_Chrysler,0.0008549264856696634
Make_Jeep,0.0007744149276599824
Fuel_Type_Hydrogen,0.000732773371553364
Make_Audi,0.0006960934315521459
Make_Subaru,0.0006736327227918132
Make_Volkswagen,0.0006272510860567064
Make_Ferrari,0.0005671639526831324
Make_Dodge,0.0005482773047247115
Make_Cadillac,0.0005387493700688388
Make_Kia,0.000529313341970392
Make_Lincoln,0.000492627212882968
Make_Land Rover,0.000471791314280617
Make_Jaguar,0.0004114277539244728
Make_Maserati,0.00032859551503124437
Make_Roush Performance,0.0002990857938578465
Make_Infiniti,0.00029764654699643723
Make_INEOS Automotive,0.0002893363162706764
Make_Karma,0.00028505247751276505
Make_Ram,0.0002525240746052478
Make_Aston Martin,0.0002519434368997314
Fuel_Type_Midgrade Gasoline,0.00025097365781260835
Make_Buick,0.00020367815485267316
Make_smart,0.00019997951731896463
Make_Acura,0.00016102385062115583
Make_Genesis,0.00013618150789747053
Make_Polestar,0.00013432640994221588
Make_Alfa Romeo,0.00011891273436309376
Make_Bugatti,6.470408224722412e-05
Make_Fiat,6.218597013988097e-05
Make_Lucid,4.033592510701979e-05
Make_Mobility Ventures LLC,3.15400508348533e-05
Make_McLaren Automotive,2.749151126911907e-05
Make_Bugatti Rimac,1.8449517800629796e-05
Make_Scion,1.3183660732471608e-05
Make_BYD,8.071608220907075e-06
Make_RUF Automobile,6.610369351507152e-06
Make_Koenigsegg,6.499453623882925e-06
Make_Pagani,5.23980428128727e-06
Make_Lotus,2.8195928875962708e-06
Make_Fisker,0.0
Make_Vinfast,0.0
Fuel_Type_Natural Gas,0.0
Make_STI,0.0
Fuel_Type_Unknown,0.0
Make_Mini,0.0
Make_Kandi,0.0
Make_Lordstown,0.0
