feature,importance
Fuel_Type_Diesel,0.1593176838532564
Fuel_Type_Electricity,0.10570751299750264
Fuel_Type_Hydrogen,0.09071845107900994
Combined_MPG,0.0898937460731087
Engine_Cylinders,0.08068718654057287
Engine_Size_L,0.07881747163088638
City_MPG,0.07704413698662146
Highway_MPG,0.06677295283701143
EV_Range_miles,0.05548517719659163
Fuel_Type_Premium Gasoline,0.04796815090336918
Fuel_Type_Regular Gasoline,0.041663256885191194
Drivetrain_Front-Wheel Drive,0.0164913918565759
Drivetrain_All-Wheel Drive,0.014321646989302288
Make_Hyundai,0.014283526643740014
Make_Toyota,0.01253935092615145
Year,0.010874526848220996
Drivetrain_4-Wheel Drive,0.008526364659571342
Make_Chevrolet,0.004667889309112365
Make_GMC,0.0034751293620518303
Make_Honda,0.002533877915340821
Drivetrain_Rear-Wheel Drive,0.002452087046661811
Make_Rivian,0.002039039467323049
Make_Tesla,0.0018576637214685688
Transmission_Type_Automatic,0.0011449207980453542
Make_BMW,0.001014922174083015
Make_Porsche,0.0009767667364764514
Transmission_Type_Manual,0.0009322777845499645
Make_Mercedes-Benz,0.0008695581746163603
Make_Jaguar,0.0007633748532661406
Drivetrain_Part-time 4-Wheel Drive,0.0006705867103165767
Make_MINI,0.0005464461588375631
Make_Nissan,0.0005345875667542415
Make_Volkswagen,0.00047054656794323543
Make_Ford,0.0004134755828574625
Make_Land Rover,0.0004117573089403197
Make_Ram,0.0004067345078358599
Make_Audi,0.0004014902122745518
Make_Kia,0.00033779808007872815
Make_Lexus,0.0002500120505838611
Make_Jeep,0.00020654087494914746
Make_Mazda,0.00018891106827136655
Make_Mitsubishi,0.0001490018487053262
Make_Subaru,0.00014021640231643985
Make_Infiniti,0.00013669431032162146
Fuel_Type_Midgrade Gasoline,0.00012550706127461192
Make_Volvo,8.446623278591302e-05
Make_Lucid,8.370231056131452e-05
Make_Rolls-Royce,7.252955748942089e-05
Make_BYD,6.98412576876161e-05
Make_Dodge,6.775995495890946e-05
Make_Acura,6.379204886822616e-05
Make_Cadillac,5.68394570856336e-05
Make_Buick,5.330102982702478e-05
Make_Lincoln,4.776543058700362e-05
Make_Fiat,4.233628916613123e-05
Make_Genesis,2.586932704282333e-05
Make_Maserati,2.5029169592543236e-05
Make_smart,1.9807122173825268e-05
Make_Polestar,1.3335773624172832e-05
Make_Chrysler,1.3174150777874674e-05
Make_Alfa Romeo,6.683084970395021e-06
Make_Bugatti Rimac,6.027197487695612e-06
Make_Bentley,3.85479215503439e-06
Make_Ferrari,3.5456761806434534e-06
Make_Vinfast,2.8607364021239032e-06
Make_Karma,1.6548884838847645e-06
Make_Roush Performance,1.5144203193375104e-06
Make_Lamborghini,1.4123441891346548e-06
Make_INEOS Automotive,9.485974384519303e-07
Make_Scion,8.20841496573074e-07
Make_Aston Martin,7.797467055495987e-07
Make_Koenigsegg,1.2567098039231677e-15
Make_Lotus,4.53379789550275e-16
Make_McLaren Automotive,3.9086723544212916e-16
Make_Fisker,7.381944718987163e-18
Make_Mobility Ventures LLC,6.9080543754455315e-18
Make_Pagani,4.238980736486654e-18
Make_Bugatti,2.446460756123874e-18
Make_Kandi,0.0
Make_RUF Automobile,0.0
Fuel_Type_Unknown,0.0
Make_Mini,0.0
Make_Lordstown,0.0
